id,createTime,diggCount,shareCount,playCount,commentCount,hashtag_foryoupage,hashtag_fyp
6898022622110436609,1606071049,3440,26,47100,7,False,False
6891713222534089985,1604602027,13800,2114,252600,284,False,False
6891713222534089985,1604602027,13800,2114,252600,284,False,True
6893875244742741253,1605105491,14100,733,147500,182,False,True
6893875244742741253,1605105491,14100,733,147500,182,False,False
6884646106970590470,1602956633,30200,20,139400,79,False,True
6884646106970590470,1602956633,30200,20,139400,79,False,False
6886033905531538689,1603279709,31100,305,163100,833,False,True
6896172646669552897,1605640318,4024,20,25200,108,False,False
6896172646669552897,1605640318,4024,20,25200,108,False,True
6898451979207478533,1606171047,4854,13,50000,35,False,True
6899128133430037765,1606328467,6289,51,61100,318,False,True
6899128133430037765,1606328467,6289,51,61100,318,False,False
6899128133430037765,1606328467,6289,51,61100,318,True,False
6879476802050460934,1601753052,309900,4888,1500000,2003,False,False
6879476802050460934,1601753052,309900,4888,1500000,2003,False,True
6884287238138645761,1602873031,513,6,65800,11,False,False
6894316591450705154,1605208171,12100,76,78800,119,False,False
6894316591450705154,1605208171,12100,76,78800,119,False,True
6903974884154608897,1607456918,1089,10,32300,6,False,False
6877606750900538626,1601317608,67300,387,1700000,424,False,True
6886527878100438273,1603394720,19000,17,84200,146,False,True
6886527878100438273,1603394720,19000,17,84200,146,False,False
6882738915724233985,1602512534,1246,94,46000,65,False,True
6882738915724233985,1602512534,1246,94,46000,65,False,False
6880527115037478145,1601997558,12400,127,62100,313,False,True
6880527115037478145,1601997558,12400,127,62100,313,False,False
6881793753036721414,1602292500,4947,19,68200,110,True,False
6881793753036721414,1602292500,4947,19,68200,110,False,True
6881793753036721414,1602292500,4947,19,68200,110,False,False
6880493048011263233,1601989627,5624,15,166500,250,False,True
6905961818062114054,1607919562,20400,476,70900,256,False,True
6903188918078852354,1607273921,5611,20,63800,184,False,True
6885276983870196994,1603103475,104700,2421,1900000,709,False,True
6885276983870196994,1603103475,104700,2421,1900000,709,False,False
6879902533876337925,1601852172,15100,60,139100,99,True,False
6879902533876337925,1601852172,15100,60,139100,99,False,True
6879902533876337925,1601852172,15100,60,139100,99,False,False
6906243777036389637,1607985203,12600,12,64300,33,False,True
6906243777036389637,1607985203,12600,12,64300,33,True,False
6906243777036389637,1607985203,12600,12,64300,33,False,False
6904612666099305729,1607605413,33400,594,143700,173,False,True
6893910918913117441,1605113718,11400,45,68100,294,False,True
6897625010668637441,1605978473,17800,123,103000,281,False,True
6880694458552175874,1602036522,2315,147,35700,31,False,True
6880694458552175874,1602036522,2315,147,35700,31,False,False
6880694458552175874,1602036522,2315,147,35700,31,True,False
6886291383246671109,1603339711,23000,206,136600,103,True,False
6886291383246671109,1603339711,23000,206,136600,103,False,True
6886291383246671109,1603339711,23000,206,136600,103,False,False
6888483056588508417,1603849947,2021,78,25500,89,False,True
6888483056588508417,1603849947,2021,78,25500,89,False,False
6888483056588508417,1603849947,2021,78,25500,89,True,False
6891645928797703425,1604586359,74300,844,684200,1613,False,False
6883133559482191105,1602604419,2233,17,39700,16,False,True
6886618708731546886,1603415906,12800,18,105100,285,False,True
6876422232772578561,1601041816,18900,67,189800,77,False,False
6876422232772578561,1601041816,18900,67,189800,77,False,True
6897931927257484545,1606049932,271500,2119,2800000,8129,False,True
6881337151901027586,1602186160,971,9,79000,11,False,True
6899706911059397893,1606463291,82200,10500,1500000,511,False,True
6899706911059397893,1606463291,82200,10500,1500000,511,False,False
6904264506998951169,1607524350,9280,35,144100,53,False,True
6904264506998951169,1607524350,9280,35,144100,53,True,False
6890518277752163585,1604323807,2932,439,40800,91,True,False
